Data;Codigo da moeda;Nao sei;Moeda;Taxa compra;Taxa venda;Paridade dolar compra;Paridade dolar venda
3012022;978;B;EUR;6,3566;6,3595;1,1290;1,1294
4012022;978;B;EUR;6,4207;6,4219;1,1310;1,1311
5012022;978;B;EUR;6,4181;6,4210;1,1335;1,1339
6012022;978;B;EUR;6,4416;6,4435;1,1294;1,1296
7012022;978;B;EUR;6,4385;6,4415;1,1346;1,1350
10012022;978;B;EUR;6,4196;6,4225;1,1316;1,1320
11012022;978;B;EUR;6,3884;6,3908;1,1338;1,1341
12012022;978;B;EUR;6,3495;6,3524;1,1419;1,1423
13012022;978;B;EUR;6,3305;6,3317;1,1460;1,1461
14012022;978;B;EUR;6,3274;6,3286;1,1433;1,1434
17012022;978;B;EUR;6,2770;6,2799;1,1402;1,1406
18012022;978;B;EUR;6,2610;6,2639;1,1341;1,1345
19012022;978;B;EUR;6,2355;6,2384;1,1343;1,1347
20012022;978;B;EUR;6,1450;6,1478;1,1346;1,1350
21012022;978;B;EUR;6,1717;6,1729;1,1346;1,1347
24012022;978;B;EUR;6,2080;6,2103;1,1307;1,1310
25012022;978;B;EUR;6,1957;6,1985;1,1272;1,1276
26012022;978;B;EUR;6,1271;6,1288;1,1280;1,1282
27012022;978;B;EUR;5,9983;6,0011;1,1148;1,1152
28012022;978;B;EUR;6,0217;6,0245;1,1162;1,1166
31012022;978;B;EUR;6,0060;6,0073;1,1212;1,1213
1022022;978;B;EUR;5,9378;5,9406;1,1245;1,1249
2022022;978;B;EUR;5,9812;5,9840;1,1296;1,1300
3022022;978;B;EUR;6,0521;6,0549;1,1415;1,1419
4022022;978;B;EUR;6,0955;6,0968;1,1441;1,1442
7022022;978;B;EUR;6,0541;6,0554;1,1443;1,1444
8022022;978;B;EUR;6,0160;6,0188;1,1417;1,1421
9022022;978;B;EUR;6,0259;6,0271;1,1428;1,1429
10022022;978;B;EUR;5,9732;5,9744;1,1466;1,1467
11022022;978;B;EUR;5,9258;5,9286;1,1400;1,1404
14022022;978;B;EUR;5,8899;5,8927;1,1305;1,1309
15022022;978;B;EUR;5,8904;5,8921;1,1355;1,1357
16022022;978;B;EUR;5,8660;5,8688;1,1363;1,1367
17022022;978;B;EUR;5,8612;5,8640;1,1368;1,1372
18022022;978;B;EUR;5,8217;5,8234;1,1341;1,1343
21022022;978;B;EUR;5,7793;5,7820;1,1334;1,1338
22022022;978;B;EUR;5,7351;5,7378;1,1333;1,1337
23022022;978;B;EUR;5,6770;5,6782;1,1323;1,1324
24022022;978;B;EUR;5,6853;5,6865;1,1111;1,1112
25022022;978;B;EUR;5,7776;5,7803;1,1243;1,1247
2032022;978;B;EUR;5,7060;5,7077;1,1114;1,1116
3032022;978;B;EUR;5,5828;5,5840;1,1061;1,1062
4032022;978;B;EUR;5,5406;5,5433;1,0917;1,0921
7032022;978;B;EUR;5,4998;5,5025;1,0875;1,0879
8032022;978;B;EUR;5,5345;5,5372;1,0874;1,0878
9032022;978;B;EUR;5,5312;5,5339;1,1043;1,1047
10032022;978;B;EUR;5,5649;5,5660;1,1018;1,1019
11032022;978;B;EUR;5,5088;5,5115;1,0963;1,0967
14032022;978;B;EUR;5,5589;5,5615;1,0977;1,0981
15032022;978;B;EUR;5,6290;5,6317;1,0971;1,0975
16032022;978;B;EUR;5,6358;5,6385;1,0990;1,0994
17032022;978;B;EUR;5,6382;5,6399;1,1108;1,1110
18032022;978;B;EUR;5,5677;5,5704;1,1046;1,1050
21032022;978;B;EUR;5,4840;5,4866;1,1043;1,1047
22032022;978;B;EUR;5,4221;5,4247;1,1020;1,1024
23032022;978;B;EUR;5,3563;5,3589;1,0999;1,1003
24032022;978;B;EUR;5,2886;5,2912;1,1004;1,1008
25032022;978;B;EUR;5,2468;5,2479;1,0982;1,0983
